customer_id,total_spend,spending_category
52,106.72,Medium spender
138,106.68,Medium spender
127,105.78,Medium spender
490,105.78,Medium spender
331,105.78,Medium spender
193,105.77,Medium spender
294,105.77,Medium spender
58,105.76,Medium spender
400,105.76,Medium spender
396,105.74,Medium spender
40,105.74,Medium spender
96,105.73,Medium spender
444,105.72,Medium spender
28,105.7,Medium spender
345,104.79,Medium spender
493,104.78,Medium spender
289,104.76,Medium spender
121,104.75,Medium spender
171,104.75,Medium spender
407,104.74,Medium spender
31,104.74,Medium spender
25,104.73,Medium spender
397,104.72,Medium spender
442,104.71,Medium spender
341,103.78,Medium spender
296,103.77,Medium spender
280,103.77,Medium spender
214,103.74,Medium spender
202,103.74,Medium spender
245,103.74,Medium spender
20,103.73,Medium spender
408,103.73,Medium spender
292,102.78,Medium spender
553,102.77,Medium spender
510,102.77,Medium spender
587,102.76,Medium spender
98,102.76,Medium spender
126,102.75,Medium spender
190,102.75,Medium spender
44,101.79,Medium spender
466,101.78,Medium spender
100,101.77,Medium spender
593,101.76,Medium spender
405,101.7,Medium spender
486,100.77,Medium spender
517,100.76,Medium spender
572,100.76,Medium spender
219,100.75,Medium spender
251,100.75,Medium spender
135,100.72,Medium spender
519,99.78,Medium spender
11,99.77,Medium spender
57,99.74,Medium spender
297,99.74,Medium spender
563,99.73,Medium spender
503,99.72,Medium spender
452,99.71,Medium spender
381,99.68,Medium spender
19,98.82,Medium spender
329,98.77,Medium spender
537,98.76,Medium spender
175,98.76,Medium spender
264,98.75,Medium spender
425,98.75,Medium spender
374,98.75,Medium spender
580,98.74,Medium spender
65,97.8,Medium spender
367,97.8,Medium spender
460,97.79,Medium spender
409,97.78,Medium spender
192,97.78,Medium spender
475,97.78,Medium spender
562,97.78,Medium spender
123,97.77,Medium spender
256,97.75,Medium spender
581,97.75,Medium spender
268,96.79,Medium spender
379,96.79,Medium spender
269,96.79,Medium spender
352,96.78,Medium spender
83,96.78,Medium spender
14,96.77,Medium spender
414,96.77,Medium spender
286,96.76,Medium spender
445,96.76,Medium spender
317,96.76,Medium spender
500,96.75,Medium spender
422,96.75,Medium spender
74,96.74,Medium spender
554,95.8,Medium spender
578,95.79,Medium spender
106,95.79,Medium spender
180,95.78,Medium spender
324,95.78,Medium spender
541,95.78,Medium spender
488,95.78,Medium spender
339,95.76,Medium spender
199,95.76,Medium spender
456,95.76,Medium spender
132,95.72,Medium spender
22,94.81,Medium spender
150,94.78,Medium spender
68,94.78,Medium spender
276,94.77,Medium spender
161,94.76,Medium spender
546,94.76,Medium spender
153,94.76,Medium spender
10,94.76,Medium spender
111,94.75,Medium spender
321,93.83,Medium spender
432,93.8,Medium spender
528,93.8,Medium spender
319,93.79,Medium spender
443,93.79,Medium spender
105,93.78,Medium spender
336,93.78,Medium spender
385,93.76,Medium spender
383,93.75,Medium spender
229,93.75,Medium spender
377,93.74,Medium spender
12,93.74,Medium spender
47,92.81,Medium spender
307,92.8,Medium spender
544,92.8,Medium spender
81,92.79,Medium spender
365,92.79,Medium spender
511,92.78,Medium spender
431,92.78,Medium spender
516,92.76,Medium spender
182,92.76,Medium spender
474,92.75,Medium spender
188,92.75,Medium spender
275,92.75,Medium spender
505,91.81,Medium spender
489,91.81,Medium spender
212,91.8,Medium spender
37,91.79,Medium spender
201,91.78,Medium spender
417,91.78,Medium spender
392,91.77,Medium spender
323,91.75,Medium spender
570,91.75,Medium spender
64,91.7,Medium spender
261,90.78,Medium spender
216,90.78,Medium spender
99,90.77,Medium spender
36,90.75,Medium spender
461,90.73,Medium spender
552,89.8,Medium spender
43,89.78,Medium spender
364,89.78,Medium spender
333,89.78,Medium spender
73,89.78,Medium spender
235,89.77,Medium spender
233,89.77,Medium spender
507,89.77,Medium spender
156,89.77,Medium spender
69,89.77,Medium spender
463,89.76,Medium spender
34,89.76,Medium spender
361,89.71,Medium spender
247,88.81,Medium spender
249,88.81,Medium spender
33,88.8,Medium spender
375,88.8,Medium spender
415,88.78,Medium spender
60,88.78,Medium spender
231,88.77,Medium spender
53,88.76,Medium spender
133,88.75,Medium spender
72,88.73,Medium spender
17,87.82,Medium spender
203,87.81,Medium spender
523,87.8,Medium spender
305,87.8,Medium spender
476,87.8,Medium spender
547,87.8,Medium spender
226,87.79,Medium spender
189,87.79,Medium spender
130,87.78,Medium spender
597,87.77,Medium spender
351,87.77,Medium spender
509,86.82,Medium spender
478,86.81,Medium spender
501,86.81,Medium spender
238,86.81,Medium spender
195,86.81,Medium spender
67,86.8,Medium spender
169,86.8,Medium spender
217,86.79,Medium spender
232,86.77,Medium spender
101,86.77,Medium spender
419,86.76,Medium spender
228,86.75,Medium spender
561,86.75,Medium spender
208,86.75,Medium spender
115,86.73,Medium spender
567,85.8,Medium spender
437,85.8,Medium spender
382,85.78,Medium spender
359,85.78,Medium spender
455,85.78,Medium spender
24,85.77,Medium spender
8,85.77,Medium spender
77,85.77,Medium spender
450,85.75,Medium spender
542,84.84,Medium spender
55,84.81,Medium spender
545,84.81,Medium spender
539,84.8,Medium spender
88,84.8,Medium spender
299,84.79,Medium spender
6,84.75,Medium spender
140,83.82,Medium spender
480,83.81,Medium spender
143,83.8,Medium spender
440,83.79,Medium spender
598,83.78,Medium spender
340,83.77,Medium spender
496,82.81,Medium spender
564,82.78,Medium spender
498,82.76,Medium spender
524,81.83,Medium spender
483,81.83,Medium spender
322,81.81,Medium spender
308,81.81,Medium spender
174,81.81,Medium spender
165,81.8,Medium spender
312,81.8,Medium spender
4,81.78,Medium spender
534,81.78,Medium spender
527,81.76,Medium spender
215,81.76,Medium spender
151,81.75,Medium spender
311,80.85,Medium spender
449,80.83,Medium spender
205,80.82,Medium spender
316,80.81,Medium spender
184,80.8,Medium spender
287,80.78,Medium spender
290,80.78,Medium spender
521,80.77,Medium spender
357,80.77,Medium spender
304,79.81,Medium spender
109,79.81,Medium spender
282,79.8,Medium spender
185,79.8,Medium spender
387,79.78,Medium spender
391,79.75,Medium spender
429,78.84,Medium spender
599,78.82,Medium spender
18,78.81,Medium spender
338,78.8,Medium spender
9,78.8,Medium spender
298,78.79,Medium spender
62,78.79,Medium spender
227,78.78,Medium spender
435,78.77,Medium spender
223,77.84,Medium spender
402,77.81,Medium spender
134,77.81,Medium spender
394,77.8,Medium spender
384,77.79,Medium spender
104,77.78,Medium spender
243,77.77,Medium spender
246,76.82,Medium spender
93,76.8,Medium spender
118,76.8,Medium spender
224,76.78,Medium spender
70,75.83,Medium spender
270,75.81,Medium spender
358,75.8,Medium spender
551,75.79,Medium spender
183,75.78,Medium spender
530,75.78,Medium spender
194,74.84,Medium spender
412,74.83,Medium spender
555,74.83,Medium spender
327,74.81,Medium spender
420,74.8,Medium spender
76,74.79,Medium spender
142,74.77,Medium spender
398,73.85,Medium spender
291,73.83,Medium spender
399,73.82,Medium spender
152,73.81,Medium spender
79,73.81,Medium spender
428,73.81,Medium spender
543,73.8,Medium spender
596,73.78,Medium spender
335,73.78,Medium spender
411,73.76,Medium spender
95,72.83,Medium spender
556,72.82,Medium spender
325,72.82,Medium spender
85,72.79,Medium spender
301,71.85,Medium spender
222,71.84,Medium spender
94,71.81,Medium spender
430,71.8,Medium spender
278,71.79,Medium spender
177,71.77,Medium spender
255,70.82,Medium spender
378,70.82,Medium spender
370,70.81,Medium spender
303,70.81,Medium spender
117,69.83,Medium spender
369,69.79,Medium spender
514,69.79,Medium spender
310,68.87,Medium spender
465,68.84,Medium spender
525,68.82,Medium spender
355,68.81,Medium spender
283,68.77,Medium spender
48,67.86,Medium spender
464,67.86,Medium spender
315,67.86,Medium spender
218,67.82,Medium spender
191,66.82,Medium spender
458,66.81,Medium spender
568,66.79,Medium spender
272,65.87,Medium spender
353,65.83,Medium spender
328,65.83,Medium spender
413,65.81,Medium spender
164,64.85,Medium spender
344,64.84,Medium spender
326,64.82,Medium spender
313,63.84,Medium spender
548,63.84,Medium spender
350,63.79,Medium spender
557,63.78,Medium spender
492,62.85,Medium spender
549,62.84,Medium spender
401,62.81,Medium spender
330,60.82,Medium spender
136,59.86,Medium spender
162,59.83,Medium spender
159,58.83,Medium spender
97,58.82,Medium spender
252,58.8,Medium spender
61,57.87,Medium spender
124,57.86,Medium spender
395,57.81,Medium spender
271,56.84,Medium spender
250,54.85,Medium spender
288,52.81,Medium spender
586,50.83,Medium spender
110,49.88,Low spender
320,47.85,Low spender
248,37.87,Low spender
281,32.9,Low spender
318,27.93,Low spender
