film_id,title,description,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating,last_update,special_features,fulltext
41,Arsenic Independence,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,2006,1,4,0.99,137,17.99,PG,2013-05-26 14:50:58.951000,"{Trailers,Deleted Scenes,Behind the Scenes}",'arsenic':1 'berlin':19 'cow':9 'dentist':17 'documentari':5 'fanci':4 'find':15 'independ':2 'mad':8 'must':14 'woman':12
42,Artist Coldblooded,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,2006,1,5,2.99,170,10.99,NC-17,2013-05-26 14:50:58.951000,"{Trailers,Behind the Scenes}",'artist':1 'california':18 'challeng':14 'coldblood':2 'moos':11 'must':13 'reflect':5 'robot':8 'stun':4 'woman':16
43,Atlantis Cause,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,2006,1,6,2.99,170,15.99,G,2013-05-26 14:50:58.951000,{Behind the Scenes},'atlanti':1 'caus':2 'feminist':8 'fight':14 'hunter':11 'must':13 'shark':20 'tank':21 'technic':16 'thrill':4 'writer':17 'yarn':5
44,Attacks Hate,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,2006,1,5,4.99,113,21.99,PG-13,2013-05-26 14:50:58.951000,"{Trailers,Behind the Scenes}",'abandon':23 'attack':1 'fast':5 'fast-pac':4 'feminist':20 'find':18 'hate':2 'mad':14 'mine':24 'must':17 'pace':6 'panorama':7 'scientist':15 'shaft':25 'technic':10 'writer':11
45,Attraction Newton,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,2006,1,5,4.99,83,14.99,PG-13,2013-05-26 14:50:58.951000,"{Trailers,Behind the Scenes}",'ancient':18 'astound':4 'attract':1 'compos':8 'frisbe':11 'husband':16 'japan':19 'must':13 'newton':2 'panorama':5 'reach':14
46,Autumn Crow,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,2006,1,3,4.99,108,13.99,G,2013-05-26 14:50:58.951000,"{Trailers,Commentaries,Deleted Scenes,Behind the Scenes}",'autumn':1 'battl':15 'beauti':4 'cow':12 'crow':2 'dentist':8 'desert':21 'mad':11 'moos':17 'must':14 'sahara':20 'tale':5
47,Baby Hall,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,2006,1,5,4.99,153,23.99,NC-17,2013-05-26 14:50:58.951000,{Commentaries},'abandon':21 'babi':1 'bore':4 'charact':5 'feminist':18 'girl':13 'hall':2 'mine':22 'must':15 'outrac':16 'shaft':23 'shark':10 'studi':6
48,Backlash Undefeated,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,2006,1,3,4.99,118,24.99,PG-13,2013-05-26 14:50:58.951000,"{Trailers,Behind the Scenes}","'backlash':1 'car':19 'charact':5 'cow':14 'kill':17 'mad':9,13 'monasteri':22 'must':16 'scientist':10 'studi':6 'stun':4 'undef':2"
49,Badman Dawn,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,2006,1,6,2.99,162,22.99,R,2013-05-26 14:50:58.951000,"{Trailers,Commentaries,Behind the Scenes}",'badman':1 'boat':21 'compos':11 'dawn':2 'emot':4 'escap':14 'jet':20 'mad':16 'must':13 'panorama':5 'pioneer':8 'scientist':17
50,Baked Cleopatra,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,2006,1,3,2.99,182,20.99,G,2013-05-26 14:50:58.951000,"{Commentaries,Behind the Scenes}",'bake':1 'cleopatra':2 'drama':5 'forens':8 'husband':12 'monasteri':20 'must':14 'overcom':15 'psychologist':9 'stun':4 'waitress':17
51,Balloon Homeward,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,2006,1,5,2.99,75,10.99,NC-17,2013-05-26 14:50:58.951000,{Deleted Scenes},"'balloon':1 'build':16 'cow':13 'first':22 'forens':8 'homeward':2 'insight':4 'mad':12,18 'man':23 'must':15 'panorama':5 'psychologist':9 'scientist':19 'space':24 'station':25"
52,Ballroom Mockingbird,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,2006,1,6,0.99,173,29.99,G,2013-05-26 14:50:58.951000,"{Commentaries,Deleted Scenes}",'ballroom':1 'california':18 'compos':8 'documentari':5 'feminist':16 'find':14 'mockingbird':2 'monkey':11 'must':13 'thrill':4
53,Bang Kwai,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,2006,1,5,2.99,87,25.99,NC-17,2013-05-26 14:50:58.951000,"{Commentaries,Deleted Scenes,Behind the Scenes}",'abandon':20 'amus':21 'bang':1 'cat':11 'drama':5 'epic':4 'face':14 'kwai':2 'madman':8 'must':13 'park':22 'shark':17
54,Banger Pinocchio,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,2006,1,5,0.99,113,15.99,R,2013-05-26 14:50:58.951000,"{Trailers,Commentaries,Deleted Scenes}",'awe':5 'awe-inspir':4 'banger':1 'car':10 'chase':17 'chef':14 'crocodil':19 'drama':7 'first':22 'inspir':6 'man':23 'must':16 'pastri':13 'pinocchio':2 'space':24 'station':25
55,Barbarella Streetcar,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,2006,1,6,2.99,65,27.99,G,2013-05-26 14:50:58.951000,{Behind the Scenes},'awe':5 'awe-inspir':4 'barbarella':1 'cat':13 'conquer':16 'dog':18 'feminist':10 'inspir':6 'monasteri':21 'must':15 'stori':7 'streetcar':2
56,Barefoot Manchurian,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,2006,1,6,2.99,129,15.99,G,2013-05-26 14:50:58.951000,"{Trailers,Commentaries}",'abandon':19 'amus':20 'barefoot':1 'cat':8 'girl':16 'intrepid':4 'manchurian':2 'must':13 'park':21 'stori':5 'student':11 'vanquish':14
57,Basic Easy,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,2006,1,4,2.99,90,18.99,PG-13,2013-05-26 14:50:58.951000,{Deleted Scenes},'basic':1 'boat':21 'easi':2 'epistl':5 'husband':11 'jet':20 'mad':16 'man':8 'must':13 'reach':14 'scientist':17 'stun':4
58,Beach Heartbreakers,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,2006,1,6,2.99,122,16.99,G,2013-05-26 14:50:58.951000,"{Deleted Scenes,Behind the Scenes}",'beach':1 'display':5 'fate':4 'georgia':21 'heartbreak':2 'mad':11 'must':14 'outgun':15 'scientist':12 'shark':18 'soviet':20 'woman':8
59,Bear Graceland,A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station,2006,1,4,2.99,160,20.99,R,2013-05-26 14:50:58.951000,{Deleted Scenes},'astound':4 'bear':1 'boy':11 'dog':8 'first':19 'graceland':2 'kill':14 'man':20 'must':13 'saga':5 'space':21 'station':22 'teacher':16
60,Beast Hunchback,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,2006,1,3,4.99,89,22.99,R,2013-05-26 14:50:58.951000,"{Deleted Scenes,Behind the Scenes}",'ancient':20 'awe':5 'awe-inspir':4 'beast':1 'boy':18 'china':21 'defeat':16 'epistl':7 'hunchback':2 'inspir':6 'must':15 'squirrel':13 'student':10
