customer_id,total_payment,payment_rank
293,107.79,226
571,107.78,227
427,107.77,228
332,107.74,229
441,107.73,230
145,107.73,230
588,107.73,230
157,107.71,233
254,107.7,234
418,107.7,234
91,107.66,236
477,106.79,237
343,106.77,238
240,106.77,238
155,106.76,240
234,106.75,241
471,106.74,242
116,106.74,242
23,106.73,244
457,106.73,244
160,106.73,244
52,106.72,247
138,106.68,248
127,105.78,249
490,105.78,249
331,105.78,249
193,105.77,252
294,105.77,252
58,105.76,254
400,105.76,254
396,105.74,256
40,105.74,256
96,105.73,258
444,105.72,259
28,105.7,260
345,104.79,261
493,104.78,262
289,104.76,263
121,104.75,264
171,104.75,264
407,104.74,266
31,104.74,266
25,104.73,268
397,104.72,269
442,104.71,270
341,103.78,271
296,103.77,272
280,103.77,272
214,103.74,274
202,103.74,274
245,103.74,274
20,103.73,277
408,103.73,277
292,102.78,279
553,102.77,280
510,102.77,280
587,102.76,282
98,102.76,282
126,102.75,284
190,102.75,284
44,101.79,286
466,101.78,287
100,101.77,288
593,101.76,289
405,101.7,290
486,100.77,291
517,100.76,292
572,100.76,292
219,100.75,294
251,100.75,294
135,100.72,296
519,99.78,297
11,99.77,298
57,99.74,299
297,99.74,299
563,99.73,301
503,99.72,302
452,99.71,303
381,99.68,304
19,98.82,305
329,98.77,306
537,98.76,307
175,98.76,307
264,98.75,309
425,98.75,309
374,98.75,309
580,98.74,312
65,97.8,313
367,97.8,313
460,97.79,315
409,97.78,316
192,97.78,316
475,97.78,316
562,97.78,316
123,97.77,320
256,97.75,321
581,97.75,321
268,96.79,323
379,96.79,323
269,96.79,323
352,96.78,326
83,96.78,326
14,96.77,328
414,96.77,328
286,96.76,330
445,96.76,330
317,96.76,330
500,96.75,333
422,96.75,333
74,96.74,335
554,95.8,336
578,95.79,337
106,95.79,337
180,95.78,339
324,95.78,339
541,95.78,339
488,95.78,339
339,95.76,343
199,95.76,343
456,95.76,343
132,95.72,346
22,94.81,347
150,94.78,348
68,94.78,348
276,94.77,350
161,94.76,351
546,94.76,351
153,94.76,351
10,94.76,351
111,94.75,355
321,93.83,356
432,93.8,357
528,93.8,357
319,93.79,359
443,93.79,359
105,93.78,361
336,93.78,361
385,93.76,363
383,93.75,364
229,93.75,364
377,93.74,366
12,93.74,366
47,92.81,368
307,92.8,369
544,92.8,369
81,92.79,371
365,92.79,371
511,92.78,373
431,92.78,373
516,92.76,375
182,92.76,375
474,92.75,377
188,92.75,377
275,92.75,377
505,91.81,380
489,91.81,380
212,91.8,382
37,91.79,383
201,91.78,384
417,91.78,384
392,91.77,386
323,91.75,387
570,91.75,387
64,91.7,389
261,90.78,390
216,90.78,390
99,90.77,392
36,90.75,393
461,90.73,394
552,89.8,395
43,89.78,396
364,89.78,396
333,89.78,396
73,89.78,396
235,89.77,400
233,89.77,400
507,89.77,400
156,89.77,400
69,89.77,400
463,89.76,405
34,89.76,405
361,89.71,407
247,88.81,408
249,88.81,408
33,88.8,410
375,88.8,410
415,88.78,412
60,88.78,412
231,88.77,414
53,88.76,415
133,88.75,416
72,88.73,417
17,87.82,418
203,87.81,419
523,87.8,420
305,87.8,420
476,87.8,420
547,87.8,420
226,87.79,424
189,87.79,424
130,87.78,426
597,87.77,427
351,87.77,427
509,86.82,429
478,86.81,430
501,86.81,430
238,86.81,430
195,86.81,430
67,86.8,434
169,86.8,434
217,86.79,436
232,86.77,437
101,86.77,437
419,86.76,439
228,86.75,440
561,86.75,440
208,86.75,440
115,86.73,443
567,85.8,444
437,85.8,444
382,85.78,446
359,85.78,446
455,85.78,446
24,85.77,449
8,85.77,449
77,85.77,449
450,85.75,452
542,84.84,453
55,84.81,454
545,84.81,454
539,84.8,456
88,84.8,456
299,84.79,458
6,84.75,459
140,83.82,460
480,83.81,461
143,83.8,462
440,83.79,463
598,83.78,464
340,83.77,465
496,82.81,466
564,82.78,467
498,82.76,468
524,81.83,469
483,81.83,469
322,81.81,471
308,81.81,471
174,81.81,471
165,81.8,474
312,81.8,474
4,81.78,476
534,81.78,476
527,81.76,478
215,81.76,478
151,81.75,480
311,80.85,481
449,80.83,482
205,80.82,483
316,80.81,484
184,80.8,485
287,80.78,486
290,80.78,486
521,80.77,488
357,80.77,488
304,79.81,490
109,79.81,490
282,79.8,492
185,79.8,492
387,79.78,494
391,79.75,495
429,78.84,496
599,78.82,497
18,78.81,498
338,78.8,499
9,78.8,499
298,78.79,501
62,78.79,501
227,78.78,503
435,78.77,504
223,77.84,505
402,77.81,506
134,77.81,506
394,77.8,508
384,77.79,509
104,77.78,510
243,77.77,511
246,76.82,512
93,76.8,513
118,76.8,513
224,76.78,515
70,75.83,516
270,75.81,517
358,75.8,518
551,75.79,519
183,75.78,520
530,75.78,520
194,74.84,522
412,74.83,523
555,74.83,523
327,74.81,525
420,74.8,526
76,74.79,527
142,74.77,528
398,73.85,529
291,73.83,530
399,73.82,531
152,73.81,532
79,73.81,532
428,73.81,532
543,73.8,535
596,73.78,536
335,73.78,536
411,73.76,538
95,72.83,539
556,72.82,540
325,72.82,540
85,72.79,542
301,71.85,543
222,71.84,544
94,71.81,545
430,71.8,546
278,71.79,547
177,71.77,548
255,70.82,549
378,70.82,549
370,70.81,551
303,70.81,551
117,69.83,553
369,69.79,554
514,69.79,554
310,68.87,556
465,68.84,557
525,68.82,558
355,68.81,559
283,68.77,560
48,67.86,561
464,67.86,561
315,67.86,561
218,67.82,564
191,66.82,565
458,66.81,566
568,66.79,567
272,65.87,568
353,65.83,569
328,65.83,569
413,65.81,571
164,64.85,572
344,64.84,573
326,64.82,574
313,63.84,575
548,63.84,575
350,63.79,577
557,63.78,578
492,62.85,579
549,62.84,580
401,62.81,581
330,60.82,582
136,59.86,583
162,59.83,584
159,58.83,585
97,58.82,586
252,58.8,587
61,57.87,588
124,57.86,589
395,57.81,590
271,56.84,591
250,54.85,592
288,52.81,593
586,50.83,594
110,49.88,595
320,47.85,596
248,37.87,597
281,32.9,598
318,27.93,599
